region,cell_phone_number,sim_activation_date,first_name,last_name,date_of_birth,source_system_name,source_priority,is_master_record
Johannesburg,27758901102,2024-01-10,Mthokozisi,Mthethwa,,ArrowMobile,3,True
Ekurhuleni,27759277187,2024-01-05,Sihawukele,Makhanya,23 10 2005,VMobile,1,True
Vereeniging,27759568476,2024-06-30,Kendra,Galloway,18 10 1997,VMobile,1,True
Durban,27760632550,2025-03-28,Thabisa,Mgcaleka,,ArrowMobile,3,True
Durban,27760905385,2025-03-13,Nathan,Harris,10 05 1950,VMobile,1,True
Cape Town,27761389488,2024-07-21,Londisizwe,Ndaba,,ArrowMobile,3,True
Cape Town,27761465695,2024-10-06,Gugulethu,Mahlase,21 08 1960,VMobile,1,True
Cape Town,27761598472,2023-10-05,Thabisile,Mdaka,,ArrowMobile,3,True
Cape Town,27761704638,2024-02-03,Monica,Evans,27 01 1983,VMobile,1,True
Durban,27762338119,2024-07-18,Melanie,Bell,,ArrowMobile,3,True
Port Elizabeth,27763355406,2024-01-15,Heather,Thompson,17 03 1989,VMobile,1,True
Johannesburg,27763735255,2024-01-24,Joshua,Lewis,,ArrowMobile,3,True
Ekurhuleni,27764031374,2025-06-07,Lungile,Siyaya,20 11 1953,VMobile,1,True
Cape Town,27764364545,2024-02-07,Busisiwe,Mzulwini,,ArrowMobile,3,True
Ekurhuleni,27765030894,2025-06-05,Jill,Miah,16 01 1981,VMobile,1,True
Ekurhuleni,27765569160,2025-03-08,Mnqobi,Dlamane,,ArrowMobile,3,True
Krugersdorp,27766354480,2025-04-13,Alexander,Le,,ArrowMobile,3,True
Durban,27766591547,2023-09-18,Thembisile,Lukhele,19 09 1943,VMobile,1,True
Vereeniging,27767399287,2024-06-16,Duncan,Humphries,,ArrowMobile,3,True
Ekurhuleni,27767632849,2024-09-09,Erica,Mcclain,,ArrowMobile,3,True
Johannesburg,27767639036,2024-12-08,Thalente,Galu,23 01 1993,VMobile,1,True
Klerksdorp,27767843485,2025-02-28,Mohammad,Smith,,ArrowMobile,3,True
Ekurhuleni,27767973262,2024-05-31,Nonjabulo,Nhlanhlampofu,17 05 1968,VMobile,1,True
Cape Town,27768158896,2023-07-22,Thembisile,Shelembe,,ArrowMobile,3,True
Johannesburg,27769031933,2025-06-06,Bhekokwakhe,Mbatha,,ArrowMobile,3,True
Port Elizabeth,27769640012,2024-12-16,Kirsty,May,02 06 1945,VMobile,1,True
Cape Town,27769652162,2024-10-29,Linda,Morales,,ArrowMobile,3,True
Ekurhuleni,27770570082,2023-09-10,Nomusa,Hlomuka,29 02 2004,VMobile,1,True
Durban,27770945460,2024-07-27,Thando,Ndlela,,ArrowMobile,3,True
Johannesburg,27770950073,2025-03-06,Georgia,Price,17 06 1956,VMobile,1,True
Cape Town,27771177580,2024-09-07,Danielle,Rodriguez,,ArrowMobile,3,True
Cape Town,27771192228,2025-01-09,Mario,Smith,25 10 2002,VMobile,1,True
West Rand,27771477596,2024-06-21,Kathryn,Ryan,,ArrowMobile,3,True
Cape Town,27771583203,2023-10-29,Musa,Sondisa,22 05 1999,VMobile,1,True
East London,27771920365,2024-12-27,Shawn,Flowers,,ArrowMobile,3,True
Johannesburg,27772909252,2024-09-11,Amahle,Cwalile,01 10 1947,VMobile,1,True
Cape Town,27774163254,2025-02-15,Mcebisi,Khosini,,ArrowMobile,3,True
Vereeniging,27774230241,2024-11-09,Njabulo,Sikobi,26 07 1946,VMobile,1,True
Pretoria,27775270396,2023-07-26,SimphiweyiNkosi,Dlambula,,ArrowMobile,3,True
Cape Town,27775448067,2024-04-01,Silondile,Guliwe,29 06 1990,VMobile,1,True
Port Elizabeth,27775640687,2024-05-05,Thando,Mavundla,,ArrowMobile,3,True
Ekurhuleni,27775957924,2023-10-27,Amanda,Martinez,27 06 1984,VMobile,1,True
Uitenhage,27776328452,2024-04-29,Zenzile,Phuthini,,ArrowMobile,3,True
East London,27776715116,2024-01-01,Siyabonga,Hlatshwayo,31 01 1980,VMobile,1,True
Pretoria,27776874455,2024-04-29,Bandile,Nkwanyana,,ArrowMobile,3,True
Ekurhuleni,27777008770,2025-05-27,Ashley,Bond,11 10 1945,VMobile,1,True
Durban,27777937454,2024-09-18,Wanda,Santos,,ArrowMobile,3,True
Ekurhuleni,27778478997,2024-10-01,Marcus,Morris,29 09 1968,VMobile,1,True
Johannesburg,27779152086,2025-01-13,Karen,Carter,,ArrowMobile,3,True
Cape Town,27779545098,2024-04-16,Bhekokwakhe,Mafobo,,ArrowMobile,3,True
Krugersdorp,27779961344,2024-05-31,Langalibalele,Nyambose,22 11 1966,VMobile,1,True
Cape Town,27780348072,2024-01-15,Amahle,Mbhobho,,ArrowMobile,3,True
Durban,27780470523,2023-08-16,Dean,Stevens,19 07 1991,VMobile,1,True
Bloemfontein,27781238778,2023-10-20,Zenzile,Phuthini,,ArrowMobile,3,True
Johannesburg,27781311807,2025-03-12,Vincent,Read,28 09 1962,VMobile,1,True
Cape Town,27782561720,2024-05-01,Todd,Jones,08 05 1991,VMobile,1,True
Boksburg,27782940238,2025-03-26,Nobantu,Mlondo,,ArrowMobile,3,True
Pretoria,27783253285,2023-07-25,Jacqueline,Sutton,13 06 1944,VMobile,1,True
Soshanguve,27784301965,2023-10-27,Andile,Thumbela,,ArrowMobile,3,True
Ekurhuleni,27785690836,2024-05-28,Bhekokwakhe,Mcwaye,06 02 1979,VMobile,1,True
Cape Town,27786671547,2023-12-27,Khanyisile,Mthethwa,,ArrowMobile,3,True
Ekurhuleni,27786674547,2025-03-10,Mlungisi,Sokhela,06 04 1997,VMobile,1,True
West Rand,27787356407,2024-07-18,Kathleen,Romero,,ArrowMobile,3,True
Cape Town,27787961134,2024-03-04,Londisizwe,Gcwabe,04 11 1980,VMobile,1,True
Ekurhuleni,27788451269,2024-04-17,Amahle,Ndima,11 07 1966,VMobile,1,True
Johannesburg,27789209708,2024-02-05,Daniel,Burton,,ArrowMobile,3,True
Pietermaritzburg,27789793342,2023-10-25,Amy,Robinson,,ArrowMobile,3,True
Ekurhuleni,27789810620,2024-04-11,Thabisile,Cebekhulu,23 03 1964,VMobile,1,True
Vereeniging,27790022877,2024-06-07,Zibuyile,Ndlandla,,ArrowMobile,3,True
East London,27790250774,2025-06-08,S'fiso,Ndawonde,03 02 1949,VMobile,1,True
Johannesburg,27790681902,2024-10-28,Nhlanhla,Nhlane,,ArrowMobile,3,True
Pretoria,27790732780,2024-06-26,Matthew,Davis,04 03 1946,VMobile,1,True
Bloemfontein,27790892604,2025-04-23,Dumisile,Mazwi,,ArrowMobile,3,True
Cape Town,27790900159,2024-08-01,Julie,Marsden,08 10 1963,VMobile,1,True
Polokwane,27791653270,2025-01-25,Vusumuzi,Bhovungana,,ArrowMobile,3,True
Boksburg,27791923440,2024-10-13,Mandla,Dludlu,02 02 1998,VMobile,1,True
Soshanguve,27792273093,2025-02-04,Mthokozisi,Kubheka,,ArrowMobile,3,True
Johannesburg,27792348065,2024-09-29,Lucy,Wright,03 09 1994,VMobile,1,True
Newcastle,27792936129,2025-04-06,Nhlanhla,Shandu,,ArrowMobile,3,True
Durban,27793605906,2024-11-07,Zibuyile,Sithuli,21 04 2000,VMobile,1,True
Durban,27795199855,2025-01-07,Thabisile,Khuzwayo,,ArrowMobile,3,True
Pretoria,27795246915,2025-03-31,Nozizwe,Lange,19 02 1954,VMobile,1,True
Cape Town,27795825108,2024-08-05,Jennifer,Lewis,25 07 1973,VMobile,1,True
Nelspruit,27796004479,2024-10-28,SimphiweyiNkosi,Mahlinza,,ArrowMobile,3,True
Johannesburg,27796205527,2024-02-12,SimphiweyiNkosi,Msani,27 04 1978,VMobile,1,True
Johannesburg,27796664125,2024-06-26,Thandazile,Fakude,,ArrowMobile,3,True
Cape Town,27796677912,2023-12-09,Allison,Obrien,20 03 2005,VMobile,1,True
Durban,27797256727,2024-09-21,Bhekokwakhe,Dwala,,ArrowMobile,3,True
Johannesburg,27797558478,2023-09-04,Randall,Rocha,25 10 1970,VMobile,1,True
Johannesburg,27798290960,2024-07-27,Veronica,Bowman,,ArrowMobile,3,True
Krugersdorp,27798562157,2024-07-24,Jeffrey,Morgan,,ArrowMobile,3,True
Ekurhuleni,27798844055,2024-10-26,Mthokozisi,Sishiya,28 03 1977,VMobile,1,True
Soshanguve,27799314934,2023-11-15,Gerald,Bailey,,ArrowMobile,3,True
Pretoria,27799698904,2023-10-26,Jeffrey,Bright,07 04 1974,VMobile,1,True
Benoni,27799933613,2024-09-29,Sithembiso,Mvubu,,ArrowMobile,3,True
